TimeStamp,PositionAfterStep,StepTime,SpeedAfterMove,DistanceAfterStep,StepNumber,AxisName
340.5877273185280000,29,0.001176472348985,170.293863659264,29,145,Y
341.7601498127010000,29.2,0.001172422494173,170.880074906351,29.2,146,Y
342.9285639896450000,29.4,0.001168414176944,171.464281994822,29.4,147,Y
344.0930106817050000,29.6,0.001164446692060,172.046505340853,29.6,148,Y
345.2535300326410000,29.8,0.001160519350936,172.626765016321,29.8,149,Y
346.4101615137750000,30,0.001156631481134,173.205080756888,30,150,Y
347.5629439396550000,30.2,0.001152782425880,173.781471969828,30.2,151,Y
348.7119154832540000,30.4,0.001148971543599,174.355957741627,30.4,152,Y
349.8571136907180000,30.6,0.001145198207464,174.928556845359,30.6,153,Y
350.9985754956850000,30.8,0.001141461804967,175.499287747842,30.8,154,Y
352.1363372331800000,31,0.001137761737495,176.06816861659,31,155,Y
353.2704346531140000,31.2,0.001134097419934,176.635217326557,31.2,156,Y
354.4009029333870000,31.4,0.001130468280273,177.200451466694,31.4,157,Y
355.5277766926240000,31.6,0.001126873759237,177.763888346312,31.6,158,Y
356.6510900025400000,31.8,0.001123313309916,178.32554500127,31.8,159,Y
357.7708763999660000,32,0.001119786397426,178.885438199983,32,160,Y
358.8871688985270000,32.2,0.001116292498561,179.443584449264,32.2,161,Y
360.0000000000000000,32.4,0.001112831101473,180,32.4,162,Y
361.1094017053560000,32.6,0.001109401705356,180.554700852678,32.6,163,Y
362.2154055254970000,32.8,0.001106003820141,181.107702762748,32.8,164,Y
363.3180424916990000,33,0.001102636966202,181.65902124585,33,165,Y
364.4173431657720000,33.2,0.001099300674073,182.208671582886,33.2,166,Y
365.5133376499410000,33.4,0.001095994484169,182.756668824971,33.4,167,Y
366.6060555964670000,33.6,0.001092717946526,183.303027798234,33.6,168,Y
367.6955262170050000,33.8,0.001089470620538,183.847763108502,33.8,169,Y
368.7817782917160000,34,0.001086252074711,184.390889145858,34,170,Y
369.8648401781390000,34.2,0.001083061886423,184.932420089069,34.2,171,Y
370.9447398198280000,34.4,0.001079899641689,185.472369909914,34.4,172,Y
372.0215047547660000,34.6,0.001076764934938,186.010752377383,34.6,173,Y
373.0951621235530000,34.8,0.001073657368787,186.547581061776,34.8,174,Y
374.1657386773940000,35,0.001070576553841,187.082869338697,35,175,Y
375.2332607858740000,35.2,0.001067522108480,187.616630392937,35.2,176,Y
376.2977544445360000,35.4,0.001064493658662,188.148877222268,35.4,177,Y
377.3592452822640000,35.6,0.001061490837728,188.679622641132,35.6,178,Y
378.4177585684900000,35.8,0.001058513286226,189.208879284245,35.8,179,Y
379.4733192202060000,36,0.001055560651716,189.736659610103,36,180,Y
380.5259518088090000,36.2,0.001052632588603,190.262975904404,36.2,181,Y
381.5756805667780000,36.4,0.001049728757969,190.787840283389,36.4,182,Y
382.6225293941800000,36.6,0.001046848827402,191.31126469709,36.6,183,Y
383.6665218650180000,36.8,0.001043992470838,191.833260932509,36.8,184,Y
384.7076812334270000,37,0.001041159368409,192.353840616713,37,185,Y
385.7460304397180000,37.2,0.001038349206291,192.873015219859,37.2,186,Y
386.7815921162740000,37.4,0.001035561676556,193.390796058137,37.4,187,Y
387.8143885933060000,37.6,0.001032796477032,193.907194296653,37.6,188,Y
